id,IATA,en-GB,latitude,longitude,vibes
95673737,AOE,Eskisehir (AOE),39.809722,30.519167,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
129052904,AOG,Anshan (AOG),41.166667,123.033333,null
129052401,AOH,Lima (AOH),40.708296,-84.026012,null
95674121,AOI,Ancona (AOI),43.616342,13.362319,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
128668250,AOJ,Aomori (AOJ),40.733333,140.7,null
128668468,AOK,Karpathos (AOK),35.416667,27.15,null
129055869,AOL,Paso De Los Libres (AOL),-29.683333,-57.15,null
129054800,AON,Arona (AON),-6.333333,146,null
95674392,AOO,Martinsburg (AOO),40.297222,-78.32,null
95673984,AOR,Alor Setar (AOR),6.191111,100.403889,null
128668251,AOS,Amook (AOS),57.466667,-153.833333,null
129057712,AOT,Aosta (AOT),45.738611,7.3625,null
129053789,AOU,Attopeu (AOU),14.8,106.833333,null
129057400,APA,Denver Arapahoe Co (APA),39.733333,-104.983333,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
129052965,APB,Apolo (APB),-14.716667,-68.516667,null
129056436,APC,Napa (APC),38.212222,-122.28,null
218449629,APD,Arung Palakka (APD),-4.4601889078688846,120.30673857569538,null
129057290,APE,San Juan Aposento (APE),-11.933333,-69.083333,null
129055889,APF,Naples (APF),26.152778,-81.775278,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
129054471,APG,Aberdeen (APG),39.5,-76.166667,null
129053014,API,Apiay (API),4.07696,-73.56558,null
222577106,APJ,Ali Pulan (APJ),30.399647221262,81.14032745762847,null
128668308,APK,Apataki (APK),-15.5736,-146.41499,null
128667419,APL,Nampula (APL),-15.101667,39.287222,null
128668043,APN,Alpena (APN),45.081667,-83.555833,null
128668252,APO,Apartado (APO),7.81196,-76.71643,null
129056435,APP,Asapa (APP),-8.983333,148.133333,null
129052400,APQ,Arapiraca (APQ),-9.75,-36.65,null
129055868,APR,April River (APR),-4.67594027001514,142.54001054999995,null
129054799,APS,Anapolis (APS),-16.333333,-48.966667,null
129057711,APT,Jasper (APT),35.066667,-85.5,null
